id;Тема;Тип задачи;full_text;processed_text;target_encoded
54;ДТиОР. АСУО. Пользователи, привязанные к 10627 ГИСУГИ ВО;Запрос на обслуживание;ДТиОР. АСУО. Пользователи, привязанные к 10627 ГИСУГИ ВО;дтиор асуо пользователь привязать гисуг;6
55;установка подписи;Запрос на обслуживание;установка подписи;установка подпись;6
56;Закупка ноутбука;Подзадача;Закупка ноутбука;закупка ноутбук;12
57;Проблема с загрузкой Outlook;Запрос на обслуживание;Проблема с загрузкой Outlook;проблема загрузка outlook;6
58;Доступ к Яндекс Диску;Запрос на обслуживание;Доступ к Яндекс Диску;доступ яндекс диск;6
59;После обновления, принудительно от компании перезагружают ПК и устанавливается значение прокси;Запрос на обслуживание;После обновления, принудительно от компании перезагружают ПК и устанавливается значение прокси;обновление принудительно компания перезагружать устанавливаться значение проксить;6
60;Обновление версии Google Chrome;Уведомление о работах;Обновление версии Google Chrome;обновление версия google chrome;16
61;Длительная бронь ;Запрос на обслуживание;Длительная бронь ;длительный бронь;6
62;RE: Плановые технические работы с серверами: Информация и необходимые действия;Запрос на обслуживание;RE: Плановые технические работы с серверами: Информация и необходимые действия;плановый технический работа сервер информация необходимый действие;6
63;HR-линк   2 ндфл;Запрос на обслуживание;HR-линк   2 ндфл;линк ндфл;6
64;Гостевой пропуск для Бекетова Елизавета Юрьевна;Заказ гостевого пропуска;Гостевой пропуск для Бекетова Елизавета Юрьевна;гостевой пропуск бекетов елизавета юриевич;5
65;RE: Плановые технические работы с серверами: Информация и необходимые действия;Запрос на обслуживание;RE: Плановые технические работы с серверами: Информация и необходимые действия;плановый технический работа сервер информация необходимый действие;6
66;Пропал доступ  к сетевой папке;Запрос на обслуживание;Пропал доступ  к сетевой папке;пропасть доступ сетевой папка;6
67;Утерян пароль от учетной записи БФТ;Запрос на обслуживание;Утерян пароль от учетной записи БФТ;утерять пароль учётный запись бфт;6
68;Не включается корпоративная техника (ноутбук);Запрос на обслуживание;Не включается корпоративная техника (ноутбук);включаться корпоративный техника ноутбук;6
69;Гостевой пропуск для Долганова Татьяна Сергеевна;Заказ гостевого пропуска;Гостевой пропуск для Долганова Татьяна Сергеевна;гостевой пропуск долганов татьяна сергеевич;5
70;Документы на отпуск;Запрос на обслуживание;Документы на отпуск;документ отпуск;6
71;RE: Плановые технические работы с серверами: Информация и необходимые действия;Запрос на обслуживание;RE: Плановые технические работы с серверами: Информация и необходимые действия;плановый технический работа сервер информация необходимый действие;6
72;Согласование ВМ: srv-dkua-at-selenoid;Заявка на согласование ВМ;Согласование ВМ: srv-dkua-at-selenoid;согласование srv dkua selenoid;9
73;Процесс согласования прайс-листов;Запрос на обслуживание;Процесс согласования прайс-листов;процесс согласование прайс лист;6
74;Командировка ПУ № Л00000994 для Тобольжина Юлия Владимировна;Заявка на билет и проживание;Командировка ПУ № Л00000994 для Тобольжина Юлия Владимировна;командировка тобольжина юлия владимирович;7
75;Командировка ПУ № Л00000993 для Медведева Екатерина Юрьевна;Заявка на билет и проживание;Командировка ПУ № Л00000993 для Медведева Екатерина Юрьевна;командировка медведев екатерина юриевич;7
76;Командировка ПУ № Л00000992 для Дурягина Евгения Юрьевна;Заявка на билет и проживание;Командировка ПУ № Л00000992 для Дурягина Евгения Юрьевна;командировка дурягин евгений юриевич;7
77;Пробросить порт ВМ srv-gz-unecon.bft.local:8082;Запрос на обслуживание;Пробросить порт ВМ srv-gz-unecon.bft.local:8082;пробросить порт srv unecon bft local;6
78;Доступ администратора к корпоративному порталу;Запрос на обслуживание;Доступ администратора к корпоративному порталу;доступ администратор корпоративный портал;6
79;Активация VipNet PKI Client;Запрос на обслуживание;Активация VipNet PKI Client;активация vipnet pki client;6
80;После обновления нет звука (как в динамиках так и в наушниках);Запрос на обслуживание;После обновления нет звука (как в динамиках так и в наушниках);обновление звук динамик наушник;6
81;заблокирована учетка;Запрос на обслуживание;заблокирована учетка;заблокировать учёткий;6
82;? Problem: Unavailable by ICMP ping;Запрос на обслуживание;? Problem: Unavailable by ICMP ping;problem unavailable icmp ping;6
83;? Problem: Unavailable by ICMP ping;Запрос на обслуживание;? Problem: Unavailable by ICMP ping;problem unavailable icmp ping;6
84;? Problem: Unavailable by ICMP ping;Запрос на обслуживание;? Problem: Unavailable by ICMP ping;problem unavailable icmp ping;6
85;? Problem: Unavailable by ICMP ping;Запрос на обслуживание;? Problem: Unavailable by ICMP ping;problem unavailable icmp ping;6
86;RE: Плановые технические работы с серверами: Информация и необходимые действия;Запрос на обслуживание;RE: Плановые технические работы с серверами: Информация и необходимые действия;плановый технический работа сервер информация необходимый действие;6
87;Затёр трудозатрату в прошедшем периоде;Запрос на обслуживание;Затёр трудозатрату в прошедшем периоде;затереть трудозатрата прошедшее период;6
88;?Yealink Device Management Platform?Critical alarms;Запрос на обслуживание;?Yealink Device Management Platform?Critical alarms;yealink device management platform critical alarms;6
89;RE: Плановые технические работы с серверами: Информация и необходимые действия;Запрос на обслуживание;RE: Плановые технические работы с серверами: Информация и необходимые действия;плановый технический работа сервер информация необходимый действие;6
90;Re: Плановые технические работы с серверами: Информация и необходимые действия;Запрос на обслуживание;Re: Плановые технические работы с серверами: Информация и необходимые действия;плановый технический работа сервер информация необходимый действие;6
91;Автоматический ответ: Плановые технические работы с серверами: Информация и необходимые действия;Запрос на обслуживание;Автоматический ответ: Плановые технические работы с серверами: Информация и необходимые действия;автоматический ответ плановый технический работа сервер информация необходимый действие;6
92;Автоматический ответ: Плановые технические работы с серверами: Информация и необходимые действия;Запрос на обслуживание;Автоматический ответ: Плановые технические работы с серверами: Информация и необходимые действия;автоматический ответ плановый технический работа сервер информация необходимый действие;6
93;VIPNet CSP;Запрос на обслуживание;VIPNet CSP;vipnet csp;6
94;Просьба предоставить доступ;Запрос на обслуживание;Просьба предоставить доступ;просьба предоставить доступ;6
95;акт приема-передачи;Запрос на обслуживание;акт приема-передачи;акт приём передача;6
96;Завести учетную запись в пространство Управление ресурсами;Запрос на обслуживание;Завести учетную запись в пространство Управление ресурсами;завести учётный запись пространство управление ресурс;6
97;Командировка Римша А.М.;Запрос на обслуживание;Командировка Римша А.М.;командировка римшить;6
98;ДИТ. Создание УЗ - Дабаев Дмитрий Баирович;Подзадача;ДИТ. Создание УЗ - Дабаев Дмитрий Баирович;дит создание дабай дмитрий баирович;12
99;Оборудование - Дабаев Дмитрий Баирович 9/15/25 ;Подзадача;Оборудование - Дабаев Дмитрий Баирович 9/15/25 ;оборудование дабай дмитрий баирович;12
100;Календарь - Дабаев Дмитрий Баирович;HR: Приём;Календарь - Дабаев Дмитрий Баирович;календарь дабай дмитрий баирович;1
101;Бухгалтерия. Сформировать акт приема-передачи для Дабаев Дмитрий Баирович , 9/15/25;Подзадача;Бухгалтерия. Сформировать акт приема-передачи для Дабаев Дмитрий Баирович , 9/15/25;бухгалтерия сформировать акт приём передача дабай дмитрий баирович;12
102;АХО. Уведомление о выходе сотрудника Дабаев Дмитрий Баирович , 9/15/25;Подзадача;АХО. Уведомление о выходе сотрудника Дабаев Дмитрий Баирович , 9/15/25;ахо уведомление выход сотрудник дабай дмитрий баирович;12
103;Другие доступы - Дабаев Дмитрий Баирович;Подзадача;Другие доступы - Дабаев Дмитрий Баирович;другой доступ дабай дмитрий баирович;12
104;Учетная запись СЭД;Запрос на обслуживание;Учетная запись СЭД;учётный запись сэд;6
105;[Выход] 15.09.2025 Дабаев Дмитрий Баирович (Москва);Заявка на выход сотрудника;[Выход] 15.09.2025 Дабаев Дмитрий Баирович (Москва);выход дабай дмитрий баирович москва;8
106;Просьба предоставить доступ;Запрос на обслуживание;Просьба предоставить доступ;просьба предоставить доступ;6
107;Доступы к заявкам на платеж в ПУ;Запрос на обслуживание;Доступы к заявкам на платеж в ПУ;доступ заявка платёж;6
108;не работает ВПН;Запрос на обслуживание;не работает ВПН;работать впн;6
109;Замещение;Запрос на обслуживание;Замещение;замещение;6
110;портал Командировки ;Запрос на обслуживание;портал Командировки ;портал командировка;6
111;ДИТ. Создание УЗ - Митрунен Екатерина Александровна;Подзадача;ДИТ. Создание УЗ - Митрунен Екатерина Александровна;дит создание митрунный екатерина александрович;12
112;Оборудование - Митрунен Екатерина Александровна 9/12/25 ;Подзадача;Оборудование - Митрунен Екатерина Александровна 9/12/25 ;оборудование митрунный екатерина александрович;12
113;Календарь - Митрунен Екатерина Александровна;HR: Приём;Календарь - Митрунен Екатерина Александровна;календарь митрунный екатерина александрович;1
114;Бухгалтерия. Сформировать акт приема-передачи для Митрунен Екатерина Александровна , 9/12/25;Подзадача;Бухгалтерия. Сформировать акт приема-передачи для Митрунен Екатерина Александровна , 9/12/25;бухгалтерия сформировать акт приём передача митрунный екатерина александрович;12
115;АХО. Уведомление о выходе сотрудника Митрунен Екатерина Александровна , 9/12/25;Подзадача;АХО. Уведомление о выходе сотрудника Митрунен Екатерина Александровна , 9/12/25;ахо уведомление выход сотрудник митрунный екатерина александрович;12
116;[Выход] 12.09.2025 Митрунен Екатерина Александровна (Орёл);Заявка на выход сотрудника;[Выход] 12.09.2025 Митрунен Екатерина Александровна (Орёл);выход митрунный екатерина александрович орёл;8
117;Белгород: Принтер каб 315;Запрос на обслуживание;Белгород: Принтер каб 315;белгород принтер каб;6
118;Просьба предоставить доступ;Запрос на обслуживание;Просьба предоставить доступ;просьба предоставить доступ;6
119;Смена фамилии сотрудника РТК Катакова(Лебединская);Запрос на обслуживание;Смена фамилии сотрудника РТК Катакова(Лебединская);смена фамилия сотрудник ртк катакова лебединский;6
120;"https://jira.bftcom.com/browse/AP-101920 Ошибочный статус ""Оценка""";Запрос на обслуживание;"https://jira.bftcom.com/browse/AP-101920 Ошибочный статус ""Оценка""";ошибочный статус оценка;6
121;Изменение формулировки в шаблоне оффера в FW (FriendWork);Запрос на обслуживание;Изменение формулировки в шаблоне оффера в FW (FriendWork);изменение формулировка шаблон оффер friendwork;6
122;ДФ. Проверить расходы на мобильную связь - Бондаренко Татьяна Сергеевна;Подзадача увольнение;ДФ. Проверить расходы на мобильную связь - Бондаренко Татьяна Сергеевна;проверить расход мобильный связь бондаренко татьяна сергеевич;14
123;ДФ. Проверить незакрытые командировочные расходы - Бондаренко Татьяна Сергеевна;Подзадача увольнение;ДФ. Проверить незакрытые командировочные расходы - Бондаренко Татьяна Сергеевна;проверить незакрытый командировочный расход бондаренко татьяна сергеевич;14
124;ДРК. Проверить выпущенные доверенности - Бондаренко Татьяна Сергеевна;Подзадача увольнение;ДРК. Проверить выпущенные доверенности - Бондаренко Татьяна Сергеевна;дрк проверить выпустить доверенность бондаренко татьяна сергеевич;14
125;ПД. Проверить выпущенные доверенности - Бондаренко Татьяна Сергеевна;Подзадача увольнение;ПД. Проверить выпущенные доверенности - Бондаренко Татьяна Сергеевна;проверить выпустить доверенность бондаренко татьяна сергеевич;14
126;ЮУ. Проверить выпущенные доверенности - Бондаренко Татьяна Сергеевна;Подзадача увольнение;ЮУ. Проверить выпущенные доверенности - Бондаренко Татьяна Сергеевна;проверить выпустить доверенность бондаренко татьяна сергеевич;14
127;АХО. Моб. связь, парковочный талон - Бондаренко Татьяна Сергеевна;Подзадача увольнение;АХО. Моб. связь, парковочный талон - Бондаренко Татьяна Сергеевна;ахо моб связь парковочный талон бондаренко татьяна сергеевич;14
128;АХО. Уведомление об увольнении - Бондаренко Татьяна Сергеевна;Подзадача увольнение;АХО. Уведомление об увольнении - Бондаренко Татьяна Сергеевна;ахо уведомление увольнение бондаренко татьяна сергеевич;14
129;ДИТ L2. Наличие ВМ, облака и сетевых папок за сотрудником - Бондаренко Татьяна Сергеевна, БФТ;Подзадача увольнение;ДИТ L2. Наличие ВМ, облака и сетевых папок за сотрудником - Бондаренко Татьяна Сергеевна, БФТ;дит наличие облако сетевой папка сотрудник бондаренко татьяна сергеевич бфт;14
130;ДИТ L2. VPN - Бондаренко Татьяна Сергеевна, БФТ;Подзадача увольнение;ДИТ L2. VPN - Бондаренко Татьяна Сергеевна, БФТ;дит vpn бондаренко татьяна сергеевич бфт;14
131;ДИТ. Отключение УЗ - Бондаренко Татьяна Сергеевна, БФТ;Подзадача увольнение;ДИТ. Отключение УЗ - Бондаренко Татьяна Сергеевна, БФТ;дит отключение бондаренко татьяна сергеевич бфт;14
132;HR. Бронирование - Бондаренко Татьяна Сергеевна;Подзадача увольнение;HR. Бронирование - Бондаренко Татьяна Сергеевна;бронирование бондаренко татьяна сергеевич;14
133;HR. ДМС - Бондаренко Татьяна Сергеевна;Подзадача увольнение;HR. ДМС - Бондаренко Татьяна Сергеевна;дмс бондаренко татьяна сергеевич;14
134;HR. Долги по обучению, аккаунт BFTraining - Бондаренко Татьяна Сергеевна;Подзадача увольнение;HR. Долги по обучению, аккаунт BFTraining - Бондаренко Татьяна Сергеевна;долг обучение аккаунт bftraining бондаренко татьяна сергеевич;14
135;ДТиОР. Передать списки во FriendWork - Бондаренко Татьяна Сергеевна;Подзадача увольнение;ДТиОР. Передать списки во FriendWork - Бондаренко Татьяна Сергеевна;дтиор передать список friendwork бондаренко татьяна сергеевич;14
136;ДТиОР. Установить замещение в СЭД - Бондаренко Татьяна Сергеевна;Подзадача увольнение;ДТиОР. Установить замещение в СЭД - Бондаренко Татьяна Сергеевна;дтиор установить замещение сэд бондаренко татьяна сергеевич;14
137;Служба безопасности. Увольнение - Бондаренко Татьяна Сергеевна;Подзадача увольнение;Служба безопасности. Увольнение - Бондаренко Татьяна Сергеевна;служба безопасность увольнение бондаренко татьяна сергеевич;14
138;ФинДеп. Уволить в ПУ - Бондаренко Татьяна Сергеевна;Подзадача увольнение;ФинДеп. Уволить в ПУ - Бондаренко Татьяна Сергеевна;финдеп уволить бондаренко татьяна сергеевич;14
139;Бухгалтерия. Акт возврата - Бондаренко Татьяна Сергеевна;Подзадача увольнение;Бухгалтерия. Акт возврата - Бондаренко Татьяна Сергеевна;бухгалтерия акт возврат бондаренко татьяна сергеевич;14
140;Оборудование - Бондаренко Татьяна Сергеевна, БФТ;Подзадача основные средства;Оборудование - Бондаренко Татьяна Сергеевна, БФТ;оборудование бондаренко татьяна сергеевич бфт;13
141;Увольнение Бондаренко Татьяна Сергеевна  . БФТ;HR: Увольнение;Увольнение Бондаренко Татьяна Сергеевна  . БФТ;увольнение бондаренко татьяна сергеевич бфт;3
142;ДИТ. Создание УЗ - Евпланова Юлия Святославовна;Подзадача;ДИТ. Создание УЗ - Евпланова Юлия Святославовна;дит создание евплановый юлия святославович;12
143;Оборудование - Евпланова Юлия Святославовна 9/11/25 ;Подзадача;Оборудование - Евпланова Юлия Святославовна 9/11/25 ;оборудование евплановый юлия святославович;12
144;Календарь - Евпланова Юлия Святославовна;HR: Приём;Календарь - Евпланова Юлия Святославовна;календарь евплановый юлия святославович;1
145;Бухгалтерия. Сформировать акт приема-передачи для Евпланова Юлия Святославовна , 9/11/25;Подзадача;Бухгалтерия. Сформировать акт приема-передачи для Евпланова Юлия Святославовна , 9/11/25;бухгалтерия сформировать акт приём передача евплановый юлия святославович;12
146;АХО. Уведомление о выходе сотрудника Евпланова Юлия Святославовна , 9/11/25;Подзадача;АХО. Уведомление о выходе сотрудника Евпланова Юлия Святославовна , 9/11/25;ахо уведомление выход сотрудник евплановый юлия святославович;12
147;ДТиОР. Доступ СЭД - Евпланова Юлия Святославовна;Подзадача;ДТиОР. Доступ СЭД - Евпланова Юлия Святославовна;дтиор доступ сэд евплановый юлия святославович;12
148;Подписание МЧД, исполнитель от ДИТ Ярков Максим;Запрос на обслуживание;Подписание МЧД, исполнитель от ДИТ Ярков Максим;подписание мчд исполнитель дит ярок максим;6
149;RE: Р7-Офис.;Запрос на обслуживание;RE: Р7-Офис.;офис;6
150;Скорость работы с Confluence;Запрос на обслуживание;Скорость работы с Confluence;скорость работа confluence;6
151;С личного ПК не заходит в ViPNet CSP ;Запрос на обслуживание;С личного ПК не заходит в ViPNet CSP ;личный заходить vipnet csp;6
152;[Выход] 11.09.2025 Евпланова Юлия Святославовна (Москва);Заявка на выход сотрудника;[Выход] 11.09.2025 Евпланова Юлия Святославовна (Москва);выход евплановый юлия святославович москва;8
153;Прошу поставить новый сертификат  на Веприцкую О В  в Контуре  по  ООО БФТ Холдинг;Запрос на обслуживание;Прошу поставить новый сертификат  на Веприцкую О В  в Контуре  по  ООО БФТ Холдинг;просить поставить новый сертификат веприцкий контур ооо бфт холдинг;6
154;Создание почтового ящика;Запрос на обслуживание;Создание почтового ящика;создание почтовый ящик;6
155;Заказ CD-R дисков для ДРК.;Запрос на обслуживание;Заказ CD-R дисков для ДРК.;заказ диск дрк;6
156;FW: Создание УЗ сотруднику субподрядчика;Запрос на обслуживание;FW: Создание УЗ сотруднику субподрядчика;создание сотрудник субподрядчик;6
157;ДИТ. Создание УЗ - Гусейнова Эльмира Шакировна;Подзадача;ДИТ. Создание УЗ - Гусейнова Эльмира Шакировна;дит создание гусейнов эльмир шакирович;12
158;Оборудование - Гусейнова Эльмира Шакировна 9/12/25 ;Подзадача;Оборудование - Гусейнова Эльмира Шакировна 9/12/25 ;оборудование гусейнов эльмир шакирович;12
159;Календарь - Гусейнова Эльмира Шакировна;HR: Приём;Календарь - Гусейнова Эльмира Шакировна;календарь гусейнов эльмир шакирович;1
160;Бухгалтерия. Сформировать акт приема-передачи для Гусейнова Эльмира Шакировна , 9/12/25;Подзадача;Бухгалтерия. Сформировать акт приема-передачи для Гусейнова Эльмира Шакировна , 9/12/25;бухгалтерия сформировать акт приём передача гусейнов эльмир шакирович;12
